"Maker","Prod","ID","Desc","Hex","Discon"
"DMC","Emb","3813","LT Blue Green","86c3ab","0"
"DMC","Emb","3814","Aquamarine","0b8673","0"
"DMC","Emb","3815","DK Celadon Green","437259","0"
"DMC","Emb","3816","Celadon Green","60937a","0"
"DMC","Emb","3817","LT Celadon Green","81c6a4","0"
"DMC","Emb","3818","Ultra V DK Emerald Greene","005d2e","0"
"DMC","Emb","3819","LT Moss Green","ccc959","0"
"DMC","Emb","3820","DK Straw","dba53e","0"
"DMC","Emb","3821","Straw","ebbb52","0"
"DMC","Emb","3822","LT Straw","f7d169","0"
"DMC","Emb","3823","Ultra Pale Yellow","fef5cd","0"
"DMC","Emb","3824","LT Apricot","fcae99","0"
"DMC","Emb","3825","Pale Pumpkin","fea370","0"
"DMC","Emb","3826","Golden Brown","b16633","0"
"DMC","Emb","3827","Pale Golden Brown","eaa664","0"
"DMC","Emb","3828","Hazelnut Brown","aa7c43","0"
"DMC","Emb","3829","V DK Old Gold","a7671d","0"
"DMC","Emb","3830","Terra Cotta","a94138","0"
"DMC","Emb","3831","DK Raspberry","c12b52","0"
"DMC","Emb","3832","MD Raspberry","e36370","0"
"DMC","Emb","3833","LT Raspberry","ea8b96","0"
"DMC","Emb","3834","DK Grape","6a2258","0"
"DMC","Emb","3835","MD Grape","924d78","0"
"DMC","Emb","3836","LT Grape","c597b9","0"
"DMC","Emb","3837","Ultra DK Lavender","8a2a8f","0"
"DMC","Emb","3838","DK Lavender Blue","606bad","0"
"DMC","Emb","3839","MD Lavender Blue","7a7ec5","0"
"DMC","Emb","3840","LT Lavender Blue","b2bdea","0"
"DMC","Emb","3841","Pale Baby Blue","d9eaf2","0"
"DMC","Emb","3842","DK Wedgwood","06506a","0"
"DMC","Emb","3843","Electric Blue","28a3de","0"
"DMC","Emb","3844","DK Bright Turquoise","1f7fa0","0"
"DMC","Emb","3845","MD Bright Turquoise","2badd1","0"
"DMC","Emb","3846","LT Bright Turquoise","5eccec","0"
"DMC","Emb","3847","DK Teal Green","186358","0"
"DMC","Emb","3848","MD Teal Green","207e72","0"
"DMC","Emb","3849","LT Teal Green","35b193","0"
"DMC","Emb","3850","DK Bright Green","208b46","0"
"DMC","Emb","3851","LT Bright Green","61bb84","0"
"DMC","Emb","3852","V DK Straw","e3a730","0"
"DMC","Emb","3853","DK Autumn Gold","ef8125","0"
"DMC","Emb","3854","MD Autumn Gold","fbac56","0"
"DMC","Emb","3855","LT Autumn Gold","fddfa0","0"
"DMC","Emb","3856","Ultra V LT Mahogany","fdbe8e","0"
"DMC","Emb","3857","DK Rosewood","6a2f26","0"
"DMC","Emb","3858","MD Rosewood","803a32","0"
"DMC","Emb","3859","LT Rosewood","ba7a6c","0"
"DMC","Emb","3860","Cocoa","896362","0"
"DMC","Emb","3861","LT Cocoa","ac8583","0"
"DMC","Emb","3862","DK Mocha Beige","6e492a","0"
"DMC","Emb","3863","MD Mocha Beige","94725d","0"
"DMC","Emb","3864","LT Mocha Beige","c9aa92","0"
"DMC","Emb","3865","Winter White","fffdf9","0"
"DMC","Emb","3866","Ultra V LT Mocha Brown","f0e6d7","0"
"DMC","Emb","400","DK Mahogany","813718","0"
"DMC","Emb","402","V LT Mahogany","ef9e74","0"
"DMC","Emb","407","DK Desert Sand","b77159","0"
"DMC","Emb","413","DK Pewter Gray","4a4749","0"
"DMC","Emb","414","DK Steel Gray","766e72","0"
"DMC","Emb","415","Pearl Gray","b8b9bd","0"
"DMC","Emb","420","DK Hazelnut Brown","855a30","0"
"DMC","Emb","422","LT Hazelnut Brown","c99a67","0"
"DMC","Emb","433","MD Brown","73421e","0"
"DMC","Emb","434","LT Brown","8f5332","0"
"DMC","Emb","435","V LT Brown","a96538","0"
"DMC","Emb","436","Tan","c78559","0"
"DMC","Emb","437","LT Tan","daa26f","0"
"DMC","Emb","444","DK Lemon","f5bc13","0"
"DMC","Emb","445","LT Lemon","fcf999","0"
"DMC","Emb","451","DK Shell Gray","887773","0"
"DMC","Emb","452","MD Shell Gray","ad9994","0"
"DMC","Emb","453","LT Shell Gray","ccb8aa","0"
"DMC","Emb","469","AVocado Green","5b6533","0"
"DMC","Emb","470","LT AVocado Green","72813e","0"
"DMC","Emb","471","V LT AVocado Green","9eb357","0"
"DMC","Emb","472","Ultra LT AVocado Green","d1de75","0"
"DMC","Emb","498","DK Red","970b2c","0"
"DMC","Emb","500","V DK Blue Green","1d362a","0"
"DMC","Emb","501","DK Blue Green","2f5446","0"
"DMC","Emb","502","Blue Green","57826e","0"
"DMC","Emb","503","MD Blue Green","89b89f","0"
"DMC","Emb","504","V LT Blue Green","acdac1","0"
"DMC","Emb","505","Jade Green","ceddc1","0"
"DMC","Emb","517","DK Wedgewood","216285","0"
"DMC","Emb","518","LT Wedgewood","50819c","0"
"DMC","Emb","519","Sky Blue","94b7cb","0"
"DMC","Emb","520","DK Fern Green","384526","0"
"DMC","Emb","522","Fern Green","808b6e","0"
"DMC","Emb","523","LT Fern Green","959f7a","0"
"DMC","Emb","524","V LT Fern Green","aea78e","0"
"DMC","Emb","535","V LT Ash Gray","4b4b49","0"
"DMC","Emb","543","Ultra V LT Beige Brown","ead0b5","0"
"DMC","Emb","550","V DK Violet","580e5c","0"
"DMC","Emb","552","MD Violet","902f99","0"
"DMC","Emb","553","Violet","a449ac","0"
"DMC","Emb","554","LT Violet","dc9cde","0"
"DMC","Emb","561","V DK Jade","285e48","0"
"DMC","Emb","562","MD Jade","3b8c5a","0"
"DMC","Emb","563","LT Jade","6ed39a","0"
"DMC","Emb","564","V LT Jade","95e4af","0"
"DMC","Emb","580","DK Moss Green","355f0b","0"
"DMC","Emb","581","Moss Green","838a29","0"
"DMC","Emb","597","Turquoise","52adab","0"
"DMC","Emb","598","LT Turquoise","97d8d3","0"
"DMC","Emb","600","V DK Cranberry","bf1c48","0"
"DMC","Emb","601","DK Cranberry","c62a53","0"
"DMC","Emb","602","MD Cranberry","d63f68","0"
"DMC","Emb","603","Cranberry","ed5d84","0"
"DMC","Emb","604","LT Cranberry","f793b2","0"
"DMC","Emb","605","V LT Cranberry","fbacc4","0"
"DMC","Emb","606","Bright Orange-Red","f70f00","0"
"DMC","Emb","608","Bright Orange","fd480c","0"
"DMC","Emb","610","DK Drab Brown","6b5039","0"
"DMC","Emb","611","Drab Brown","7c5f46","0"
"DMC","Emb","612","LT Drab Brown","a6885e","0"
"DMC","Emb","613","V LT Drab Brown","b99f72","0"
"DMC","Emb","632","Ultra V DK Desert Sand","7f4232","0"
"DMC","Emb","640","V DK Beige Gray","817868","0"
"DMC","Emb","642","DK Beige Gray","958d79","0"
"DMC","Emb","644","MD Beige Gray","c4bea6","0"
"DMC","Emb","645","V DK Beaver Gray","5d5d54","0"
"DMC","Emb","646","DK Beaver Gray","6b6860","0"
"DMC","Emb","647","MD Beaver Gray","908e85","0"
"DMC","Emb","648","LT Beaver Gray","a7a69f","0"
"DMC","Emb","666","Bright Red","ce1b33","0"
"DMC","Emb","676","LT Old Gold","ecbf7d","0"
"DMC","Emb","677","V LT Old Gold","f2dc9f","0"
"DMC","Emb","680","DK Old Gold","b07b46","0"
"DMC","Emb","699","Green","075b26","0"
"DMC","Emb","700","Bright Green","076c34","0"
"DMC","Emb","701","LT Green","217c36","0"
"DMC","Emb","702","Kelly Green","379130","0"
"DMC","Emb","703","Chartreuse","63b330","0"
"DMC","Emb","704","Bright Chartreuse","88c53a","0"
"DMC","Emb","712","Cream","f6efda","0"
"DMC","Emb","718","Plum","cb2089","0"
"DMC","Emb","720","DK Orange Spice","c83a24","0"
"DMC","Emb","721","MD Orange Spice","f46440","0"
"DMC","Emb","722","LT Orange Spice","f98756","0"
"DMC","Emb","725","MD LT Topaz","f9c15b","0"
"DMC","Emb","726","LT Topaz","fddb63","0"
"DMC","Emb","727","V LT Topaz","fde98b","0"
"DMC","Emb","728","Topaz","f2ae3f","0"
"DMC","Emb","729","MD Old Gold","ce9657","0"
"DMC","Emb","730","V DK Olive Green","63520b","0"
"DMC","Emb","731","DK Olive Green","6b580b","0"
"DMC","Emb","732","Olive Green","725c0c","0"
"DMC","Emb","733","MD Olive Green","a78a44","0"
"DMC","Emb","734","LT Olive Green","bb9c54","0"
"DMC","Emb","738","V LT Tan","e2b783","0"
"DMC","Emb","739","Ultra V LT Tan","f2deb9","0"
"DMC","Emb","740","Tangerine","fd6f1a","0"
"DMC","Emb","741","MD Tangerine","fc8b10","0"
"DMC","Emb","742","LT Tangerine","fdae3c","0"
"DMC","Emb","743","MD Yellow","fdd769","0"
"DMC","Emb","744","Pale Yellow","fee88d","0"
"DMC","Emb","745","LT Pale Yellow","feeba5","0"
"DMC","Emb","746","Off White","faf2d5","0"
"DMC","Emb","747","V LT Sky Blue","cee9ea","0"
"DMC","Emb","754","LT Peach","f7c9b0","0"
"DMC","Emb","758","V LT Terra Cotta","e99f83","0"
"DMC","Emb","760","Salmon","ec8880","0"
"DMC","Emb","761","LT Salmon","f8b4ad","0"
"DMC","Emb","762","V LT Pearl Gray","d1d0d2","0"
"DMC","Emb","772","V LT Yellow Green","d7efa7","0"
"DMC","Emb","775","V LT Baby Blue","d4e3ef","0"
"DMC","Emb","776","MD Pink","fca8ad","0"
"DMC","Emb","777","V DK Raspberry","9b0042","0"
"DMC","Emb","778","V LT Antique Mauve","dca6a4","0"
"DMC","Emb","779","DK Cocoa","53332d","0"
"DMC","Emb","780","Ultra V DK Topaz","945026","0"
"DMC","Emb","781","V DK Topaz","a25f1f","0"
"DMC","Emb","782","DK Topaz","b26923","0"
"DMC","Emb","783","MD Topaz","d0883d","0"
"DMC","Emb","791","V DK Cornflower Blue","2d2068","0"
"DMC","Emb","792","DK Cornflower Blue","454b8b","0"
"DMC","Emb","793","MD Cornflower Blue","7c82b5","0"
"DMC","Emb","794","LT Cornflower Blue","a0b2d7","0"
"DMC","Emb","796","DK Royal Blue","272276","0"
"DMC","Emb","797","Royal Blue","2b3288","0"
"DMC","Emb","798","DK Delft Blue","4e5ca7","0"
"DMC","Emb","799","MD Delft Blue","6b7fc0","0"
"DMC","Emb","800","Pale Delft Blue","b5c7e9","0"
"DMC","Emb","801","DK Coffee Brown","60391d","0"
"DMC","Emb","803","Ultra V DK Baby Blue","202754","0"
"DMC","Emb","806","DK Peacock Blue","1d6c87","0"
"DMC","Emb","807","Peacock Blue","558b9e","0"
"DMC","Emb","809","Delft Blue","919fd5","0"
"DMC","Emb","813","LT Blue","7fa0c6","0"
"DMC","Emb","814","DK Garnet","711033","0"
"DMC","Emb","815","MD Garnet","800b34","0"
"DMC","Emb","816","Garnet","921238","0"
"DMC","Emb","817","V DK Coral Red","bb1630","0"
"DMC","Emb","818","Baby Pink","fededd","0"
"DMC","Emb","819","LT Baby Pink","fcebde","0"
"DMC","Emb","820","V DK Royal Blue","151264","0"
"DMC","Emb","822","LT Beige Gray","e8dfc7","0"
"DMC","Emb","823","DK Navy Blue","000b44","0"
"DMC","Emb","824","V DK Blue","284779","0"
"DMC","Emb","825","DK Blue","34588f","0"
"DMC","Emb","826","MD Blue","5075a7","0"
"DMC","Emb","827","V LT Blue","a4c1de","0"
"DMC","Emb","828","Ultra V LT Blue","c3d7e6","0"
"DMC","Emb","829","V DK Golden Olive","64480c","0"
"DMC","Emb","830","DK Golden Olive","6e501d","0"
"DMC","Emb","831","MD Golden Olive","7c5f20","0"
"DMC","Emb","832","Golden Olive","9c7230","0"
"DMC","Emb","833","LT Golden Olive","b99956","0"
"DMC","Emb","834","V LT Golden Olive","d2b468","0"
"DMC","Emb","838","V DK Beige Brown","4a3021","0"
"DMC","Emb","839","DK Beige Brown","5a3c2d","0"
"DMC","Emb","840","MD Beige Brown","7a5939","0"
"DMC","Emb","841","LT Beige Brown","a37d64","0"
"DMC","Emb","842","V LT Beige Brown","cbb094","0"
